taskSize,taskType,priority,resourceLoad,startupOverhead,actualTime
1,2,2,35.88,8.07,10.286
2,2,2,8.79,3.59,7.691
3,3,2,37.67,2.16,31.232
1,1,4,11.57,0.37,0.861
1,1,4,18.62,6.99,7.63
1,1,1,9.32,5.64,6.516
1,1,2,46.24,8.65,21.649
1,2,1,14.5,0.46,2.118
2,2,2,27.71,5.24,11.096
1,1,4,45.42,7.16,6.834
1,3,2,51.95,6.78,9.119
2,1,1,28.95,5.44,8.141
1,3,4,39.08,9.91,7.152
1,1,4,5.18,0.71,1.076
2,2,4,32.31,1.46,6.436
2,2,3,30.65,2.85,8.512
2,2,1,28.96,9.33,13.203
1,2,2,36.54,1.41,2.145
1,2,2,16.5,4.92,5.558
3,2,4,15.66,8.21,27.06
1,3,3,19.74,2.03,1.978
1,1,1,37.07,6.22,22.558
1,2,3,39.68,1.07,3.284
2,2,1,17.66,9.24,15.961
3,1,1,45.64,3.71,26.125
1,1,4,49.19,3.57,2.791
3,1,1,18.68,2.44,15.071
1,1,1,37.14,9.22,12.36
1,2,2,40.82,2.21,4.155
2,2,2,43.79,5.5,14.608
1,1,4,26.83,6.12,6.996
1,1,2,56.11,8.83,9.056
1,1,2,11.06,7.94,12.814
3,3,3,33.86,4.48,15.322
1,2,1,34.66,2.16,3.263
3,1,2,19.16,1.35,22.126
2,1,2,51.42,6.01,9.656
1,3,4,25.11,9.84,13.104
2,2,1,66.94,0.32,13.726
1,1,1,42.87,1.76,2.931
1,2,1,69.69,4.46,9.461
2,1,4,59.31,1.08,10.943
2,3,1,24.29,2.5,9.884
1,3,4,35.66,9.39,12.155
1,1,3,62.18,1.53,3.205
2,2,4,10.9,3.04,6.141
2,3,3,18.48,9.87,9.333
2,1,1,22.18,6.83,7.807
1,3,1,24.37,6.0,4.977
1,1,2,18.52,3.34,2.96
1,1,1,21.13,1.58,2.621
2,3,2,36.98,1.22,3.394
2,2,1,24.97,4.59,12.019
1,1,4,40.41,8.56,10.248
1,2,2,51.71,2.4,4.142
1,2,2,21.12,6.2,6.542
2,2,2,14.04,6.91,12.752
2,1,4,52.64,9.27,15.113
1,2,3,27.04,5.25,3.703
1,3,3,8.63,9.17,15.13
1,3,1,8.19,6.8,6.251
1,1,1,57.42,7.96,6.67
2,3,1,44.15,1.8,10.138
1,1,1,27.66,4.67,5.458
1,2,4,39.44,0.44,1.136
3,1,2,34.14,0.58,25.645
1,3,2,12.91,6.19,6.917
1,3,1,35.67,5.07,6.186
1,3,5,6.25,6.43,5.597
1,1,5,28.93,5.38,5.157
1,2,2,34.12,1.89,3.002
1,1,4,24.55,9.21,7.465
1,1,3,33.33,5.34,3.865
1,3,1,59.23,9.44,12.819
1,2,5,31.73,9.0,8.439
2,2,1,17.26,3.69,11.427
1,1,1,36.65,2.39,5.204
1,2,5,16.3,8.59,5.974
1,1,1,17.74,9.25,9.759
2,1,2,8.15,0.44,2.723
2,3,4,24.11,9.53,8.85
1,2,5,8.89,0.18,0.568
1,1,4,34.02,6.29,5.513
1,1,4,33.71,5.85,5.13
1,1,2,46.54,7.39,10.085
1,1,5,14.32,6.02,5.075
1,3,1,10.99,9.39,16.449
1,1,1,26.59,0.72,1.171
1,1,1,39.48,9.24,14.645
1,1,2,29.0,9.64,15.006
1,2,1,40.0,2.98,3.502
2,1,1,35.77,9.9,15.362
1,1,2,0.77,7.81,13.863
3,3,1,56.03,5.36,33.549
1,2,1,5.1,9.96,16.09
2,1,1,19.18,6.89,9.582
3,3,1,65.37,0.8,30.518
3,2,1,22.96,4.99,39.952
2,3,2,39.08,5.82,11.478
2,1,1,9.56,5.66,6.423
2,1,3,38.98,8.16,7.117
2,1,1,30.65,5.38,14.293
1,1,1,38.85,7.51,5.294
1,1,1,21.15,9.82,13.855
1,1,1,43.57,7.35,9.337
2,1,1,26.93,8.4,15.778
1,1,4,15.9,6.71,7.6
1,1,2,14.92,0.63,1.324
2,1,4,55.64,8.27,9.559
1,2,2,63.22,2.9,6.108
1,3,1,45.35,6.16,9.781
1,3,5,4.33,6.81,8.304
1,1,1,12.15,7.73,8.417
1,1,4,32.47,1.2,2.049
1,1,2,19.2,0.44,1.604
1,2,3,25.22,5.45,5.069
1,1,3,8.18,3.9,4.13
1,3,1,2.23,6.25,9.138
2,3,1,53.25,3.73,10.93
1,1,3,44.24,8.4,5.341
3,1,3,30.37,7.1,15.819
3,2,1,3.65,1.64,28.636
1,2,3,25.12,5.53,9.867
1,2,2,21.16,6.08,8.824
1,1,3,20.12,0.91,1.267
2,1,2,17.62,1.81,6.023
2,2,1,31.13,6.97,23.376
2,1,1,10.83,3.15,5.011
1,2,2,20.06,6.59,9.201
2,1,5,15.47,8.91,11.845
1,1,3,23.04,9.36,12.922
2,1,2,7.41,2.14,4.196
1,2,4,38.83,0.17,1.139
2,1,2,14.65,6.72,10.691
2,1,2,38.72,9.99,11.194
1,1,1,11.51,9.35,8.272
2,3,2,4.2,2.89,4.063
1,1,2,6.92,1.02,1.351
2,3,4,17.94,2.74,5.304
1,3,1,82.01,1.68,3.466
3,1,2,35.31,6.28,16.841
1,3,1,23.56,0.11,1.304
3,1,3,57.55,2.7,26.919
2,2,5,22.5,0.84,5.144
1,1,5,53.74,1.51,2.507
2,2,2,6.42,9.8,14.952
2,2,2,30.34,1.99,12.426
3,1,1,4.88,3.57,21.502
1,1,5,18.51,4.48,5.022
1,1,1,12.05,2.1,3.337
1,1,3,49.36,2.58,2.575
2,2,2,11.48,8.79,14.154
1,2,2,56.85,6.84,10.616
1,1,2,16.26,5.81,5.712
1,1,2,30.66,6.34,7.056
1,3,2,36.55,3.92,4.451
1,1,2,39.68,6.61,9.337
2,2,5,17.79,3.23,10.175
2,1,2,9.17,2.3,3.632
1,2,2,8.11,3.07,3.386
1,2,1,48.21,4.59,4.922
3,1,2,23.79,9.72,25.894
1,2,4,33.66,4.73,5.362
1,1,2,33.08,3.16,3.63
1,1,1,41.55,0.96,1.311
2,2,2,3.5,6.16,11.535
1,2,2,48.01,8.96,8.666
2,2,1,24.62,5.96,11.364
2,2,2,35.73,2.3,11.381
1,1,2,62.6,8.75,4.451
2,1,1,44.98,6.51,16.074
2,1,2,38.11,2.15,6.869
1,1,2,17.82,1.6,2.61
1,1,4,28.06,9.18,8.084
1,3,1,35.58,9.21,6.735
1,1,4,37.58,9.32,15.017
1,1,1,19.14,7.18,8.573
3,2,2,13.1,7.17,42.7
1,2,4,16.57,6.09,8.676
1,2,4,22.93,0.58,1.831
2,2,3,23.77,8.84,13.249
1,1,1,70.81,0.14,1.71
3,1,1,68.49,8.02,31.667
2,3,1,56.62,3.66,6.643
1,3,2,18.72,8.59,8.396
1,3,1,63.88,7.49,7.497
3,3,4,19.29,6.0,19.774
2,1,1,32.25,3.08,8.741
3,1,3,21.08,9.94,21.859
1,2,1,21.5,2.9,6.0
2,2,4,20.87,4.36,9.193
2,1,1,42.84,9.48,10.334
1,2,2,18.49,1.68,2.246
1,3,1,13.19,0.7,2.129
2,1,3,25.22,0.38,2.444
1,1,2,27.15,9.46,5.724
1,1,4,50.85,5.14,8.274
2,1,1,24.89,0.64,4.279
1,2,5,23.47,6.87,10.181
1,2,1,13.61,3.16,4.581
1,1,2,7.39,5.26,5.384
1,3,1,5.05,8.3,14.851
3,1,2,46.54,0.73,19.036
2,2,3,19.14,5.57,9.373
1,2,2,30.92,2.38,5.143
3,3,4,7.0,4.82,18.493
2,1,3,12.6,8.14,12.225
1,2,2,42.68,8.43,6.343
2,2,4,39.81,6.45,16.766
1,3,3,19.03,8.41,7.682
3,2,5,32.41,8.03,22.866
2,3,2,61.1,1.46,11.557
2,1,4,21.58,1.13,3.141
1,1,1,46.0,9.55,8.853
2,1,4,32.97,8.14,11.799
1,1,2,12.4,6.97,9.967
1,3,1,36.39,9.32,13.362
1,1,3,21.31,0.51,1.51
2,1,4,41.19,3.17,5.191
1,2,2,34.12,5.08,6.944
3,1,2,8.78,4.2,17.159
2,1,4,39.35,2.73,5.876
1,2,1,11.49,6.22,7.921
1,3,3,59.04,8.88,20.43
1,1,3,25.04,2.31,3.259
2,2,2,39.06,6.35,12.716
2,2,2,18.89,0.59,5.333
1,1,1,32.54,1.61,2.411
2,2,1,14.16,1.01,7.272
1,1,2,9.58,9.62,9.201
2,3,1,25.24,6.61,9.747
3,2,1,15.56,2.41,35.541
2,1,2,15.31,5.84,6.994
2,1,2,64.48,4.38,7.791
2,1,1,21.84,7.89,10.253
1,3,2,65.3,5.29,7.659
1,3,1,20.87,3.44,5.268
1,3,4,32.27,5.2,7.262
1,1,1,50.69,8.7,6.771
2,3,4,17.91,7.19,11.82
2,2,2,14.71,7.04,10.378
2,1,3,17.03,1.74,3.108
1,1,2,29.54,3.62,3.955
2,1,2,26.06,7.01,14.312
1,1,4,24.22,0.78,1.416
1,1,1,12.45,6.8,7.558
2,1,5,44.76,6.7,15.202
3,2,3,15.75,3.68,21.265
2,1,4,18.4,2.73,5.779
1,1,5,39.14,2.34,1.995
2,2,1,36.23,4.69,10.477
1,2,5,51.21,7.48,7.794
2,1,2,50.52,7.47,10.121
2,3,2,22.49,3.46,5.114
1,1,1,71.33,3.95,7.902
1,1,1,51.21,4.62,4.89
1,1,1,32.06,4.11,3.186
3,1,1,10.27,6.32,18.134
1,1,1,10.72,4.64,3.742
2,3,3,26.77,5.72,9.096
2,3,3,29.1,6.67,12.792
1,1,1,44.6,1.97,2.656
1,1,3,18.22,5.49,7.124
3,1,2,1.21,1.81,13.253
1,2,1,21.74,0.69,3.286
1,3,2,14.04,9.63,10.069
2,1,1,42.16,1.04,6.831
2,3,2,16.9,5.37,9.743
3,1,1,10.93,4.33,19.902
1,2,2,8.47,7.97,12.807
1,1,3,67.3,0.85,1.438
1,2,2,15.91,9.84,9.893
1,2,2,26.52,3.03,3.582
1,2,5,8.88,1.35,1.672
1,2,3,21.45,6.96,11.072
1,1,1,50.74,6.23,8.446
1,1,5,9.96,3.32,5.714
1,2,1,20.81,6.32,9.454
2,2,2,5.43,6.75,14.162
2,3,3,40.58,5.71,11.346
1,2,2,20.89,8.54,9.712
1,1,3,56.54,3.04,4.243
1,2,2,13.87,1.27,3.545
1,2,3,53.08,8.69,11.293
1,1,1,8.96,4.49,4.41
1,1,5,25.73,5.59,5.692
1,1,2,3.34,1.19,2.217
1,1,2,47.94,9.35,8.407
1,3,2,18.19,9.27,8.302
1,2,1,12.63,2.99,3.523
1,3,1,23.01,9.06,11.729
2,3,1,12.54,0.57,6.293
2,3,3,21.36,4.48,6.732
2,2,1,18.29,1.35,7.714
1,1,3,57.1,5.38,8.081
2,1,4,15.98,9.67,8.084
1,2,1,27.61,6.34,5.076
1,1,1,7.2,3.24,3.341
2,1,4,25.51,0.73,2.753
1,3,5,28.17,5.41,6.732
1,2,3,48.04,4.11,4.332
2,1,1,58.83,1.59,9.237
2,2,2,18.83,0.47,4.937
3,2,1,53.38,3.68,54.675
1,3,2,3.8,2.81,3.532
1,2,2,22.7,6.11,8.925
2,1,3,32.1,0.51,3.226
1,2,4,16.85,8.56,10.209
2,2,1,33.03,9.39,14.787
1,1,5,26.71,2.73,3.462
1,2,4,47.63,9.03,10.815
1,2,3,40.45,5.52,6.649
2,3,5,41.44,4.91,10.364
1,3,1,55.64,6.71,9.71
1,1,2,16.49,7.72,8.694
1,1,5,5.82,4.54,8.407
1,1,2,27.68,7.83,10.603
1,1,1,15.33,2.66,2.342
2,1,3,46.64,6.76,9.521
1,2,4,14.05,6.8,6.458
2,1,2,35.21,5.08,7.051
2,2,3,50.87,6.26,11.88
1,1,1,42.27,2.52,3.028
1,1,4,5.07,3.38,2.759
2,1,1,18.03,0.83,2.666
1,1,1,29.41,1.54,2.864
1,1,2,17.62,2.95,3.399
3,3,3,31.4,6.38,12.457
3,1,1,10.52,7.39,17.703
2,3,1,25.06,9.45,15.606
1,1,4,3.02,9.93,8.833
2,1,1,20.04,3.28,9.032
2,3,2,2.82,7.31,11.994
1,1,2,3.91,2.23,2.361
2,1,5,23.41,8.99,11.588
1,1,5,34.63,3.14,3.078
1,3,1,9.89,8.04,10.736
1,1,1,50.43,7.38,9.597
1,1,1,36.0,3.91,3.501
1,3,3,19.75,9.61,12.277
2,2,2,43.81,3.21,7.687
3,2,1,21.22,1.15,32.298
1,1,2,51.75,3.02,5.014
2,2,2,54.52,7.14,7.082
3,2,1,26.68,2.6,29.56
1,1,2,33.52,0.57,0.783
1,2,1,28.45,8.43,8.567
1,3,2,25.22,8.75,7.394
1,1,3,60.04,9.8,9.155
2,1,3,19.45,3.13,5.874
1,1,1,22.62,6.17,7.065
1,2,1,18.48,4.16,4.965
1,2,5,52.65,9.39,9.559
1,1,1,28.88,2.43,2.874
3,1,1,36.39,9.12,20.01
1,1,1,12.26,2.75,3.645
1,1,2,7.42,7.97,8.175
1,2,5,37.98,7.77,11.57
1,1,3,10.22,2.77,2.917
1,1,2,28.52,0.67,0.784
1,1,2,5.81,6.66,7.091
1,1,1,36.98,9.54,10.541
1,2,2,9.13,1.5,2.906
2,2,1,42.25,5.83,11.996
2,2,1,30.84,2.04,10.223
2,1,1,11.46,0.31,3.866
2,2,4,18.63,7.45,15.155
2,1,2,39.39,1.0,5.159
1,1,1,12.34,8.42,7.264
1,2,2,38.83,5.4,5.084
1,1,3,10.05,2.05,2.238
1,1,1,38.3,3.45,4.286
2,1,2,9.94,9.32,10.958
1,2,3,2.72,1.85,1.772
2,1,1,52.05,1.21,5.033
2,3,2,54.33,2.43,15.041
1,1,1,8.44,3.72,3.362
3,1,1,7.64,1.5,14.628
1,2,2,39.92,2.33,4.074
2,2,2,23.52,3.34,11.704
1,2,2,33.96,9.02,8.929
1,1,3,53.98,3.98,6.383
1,2,3,27.14,3.86,5.403
1,2,1,23.77,5.18,10.42
1,3,1,37.26,6.3,7.087
3,2,4,18.62,9.87,45.716
2,1,3,6.38,8.94,12.058
1,2,4,16.39,8.01,10.537
1,1,1,14.85,3.53,4.17
1,2,3,22.69,1.32,2.653
1,2,2,25.64,9.53,6.782
3,1,2,14.27,7.11,21.242
1,1,5,27.56,2.46,2.21
1,1,2,25.75,2.85,4.509
1,1,2,64.94,2.96,2.603
1,1,3,24.82,3.83,5.529
1,2,2,8.95,4.04,6.589
2,1,1,44.28,0.36,3.299
2,1,1,2.69,0.51,5.183
3,3,1,28.68,3.05,17.468
2,1,2,10.94,4.58,8.04
1,3,2,51.51,4.34,4.511
2,1,1,24.8,8.81,13.265
3,3,2,9.34,5.06,23.913
2,2,1,13.22,0.94,5.204
3,1,2,27.9,2.53,19.182
2,1,2,16.93,8.0,7.512
2,1,3,20.73,0.61,3.436
1,1,2,23.31,0.13,1.018
2,1,1,45.13,7.96,17.249
1,2,4,17.11,5.56,5.703
1,2,3,44.89,7.57,17.491
2,1,5,18.35,1.18,2.808
3,2,1,63.62,3.72,75.635
3,1,1,69.07,2.41,23.371
1,1,2,55.92,9.46,12.801
2,1,2,57.62,7.29,4.363
2,1,1,46.66,4.47,7.849
1,1,1,19.09,5.98,8.41
1,1,1,26.91,4.34,4.803
1,1,3,7.26,9.49,10.599
2,3,2,32.4,9.53,15.354
1,2,2,43.46,7.16,7.696
3,3,1,30.03,2.76,20.192
1,1,1,4.48,9.42,9.817
3,3,2,24.95,7.25,22.225
1,1,1,18.28,4.98,5.44
2,1,5,18.51,2.38,4.665
1,1,1,35.98,8.76,14.577
1,1,4,27.08,5.88,7.033
2,1,2,10.3,1.09,3.9
3,2,3,23.34,2.12,15.673
2,2,3,52.9,2.81,7.287
1,1,3,35.43,1.93,1.901
1,2,1,28.29,6.77,12.735
1,1,1,15.02,4.62,6.073
1,1,2,42.23,5.83,7.506
2,1,1,31.66,7.08,7.301
2,1,1,8.99,6.03,11.448
2,1,1,4.2,2.44,5.011
2,1,3,38.17,0.33,2.967
2,1,3,23.76,2.33,6.776
2,3,1,24.04,3.87,11.064
1,3,4,38.47,5.08,7.992
1,3,3,57.89,1.35,1.193
2,1,1,43.34,5.56,18.021
2,1,2,34.94,4.41,10.942
1,2,2,34.82,2.28,2.758
1,2,4,21.68,4.81,4.644
2,1,2,42.43,7.62,10.881
1,2,2,26.39,7.58,8.14
1,3,1,22.86,1.46,1.836
2,1,3,12.67,3.9,7.882
2,3,5,19.85,9.31,7.178
1,1,3,14.86,4.58,4.325
2,1,3,30.82,9.31,12.997
1,1,4,20.96,3.15,2.586
2,2,3,29.55,8.2,12.128
1,1,5,11.64,3.67,5.047
1,2,2,47.24,2.66,3.931
1,1,3,31.14,2.11,2.913
1,1,2,24.63,4.19,3.462
2,2,1,20.18,5.63,11.003
1,1,1,2.97,6.71,7.584
1,2,1,46.28,3.75,4.493
1,3,1,57.6,2.71,2.104
2,3,1,32.31,9.09,14.596
2,3,1,7.66,9.66,10.703
3,1,1,23.77,9.47,17.479
1,1,1,3.38,1.74,2.347
1,2,5,40.54,4.51,3.633
1,3,2,2.7,7.39,8.436
1,1,3,14.91,6.98,4.959
3,3,2,10.25,8.83,35.645
2,1,2,31.05,5.58,7.944
1,2,3,23.28,9.07,11.73
1,2,4,53.94,6.57,5.387
3,1,1,17.78,4.05,13.325
1,1,1,31.71,8.85,13.065
1,1,3,4.04,5.85,6.266
1,2,1,1.94,6.87,8.01
1,2,5,19.45,8.94,7.197
1,1,3,10.43,8.93,11.72
1,2,1,39.32,8.01,15.728
1,2,1,19.06,2.36,4.763
2,1,3,15.97,9.7,17.803
1,1,2,53.46,2.36,6.325
1,1,2,29.87,4.38,4.176
3,1,1,37.44,8.02,27.169
2,3,1,21.42,0.64,5.335
1,3,1,4.02,4.35,3.875
1,2,1,49.62,9.01,11.934
2,1,1,2.74,4.86,10.328
1,2,1,4.25,9.09,10.126
1,1,3,39.0,5.75,4.583
3,1,1,40.19,4.26,41.724
1,3,2,50.12,9.5,14.686
2,3,1,11.68,6.09,12.895
1,3,1,24.02,2.16,1.773
2,1,2,65.6,5.09,11.11
1,1,4,14.86,7.49,10.975
1,2,3,8.79,9.69,11.143
1,1,2,19.81,0.58,2.032
1,2,5,40.56,0.23,0.962
2,1,1,49.24,0.78,3.192
1,3,3,8.59,6.14,7.878
1,1,1,23.7,8.15,8.387
2,1,1,39.74,2.64,6.014
2,3,2,26.84,0.13,5.619
1,2,3,34.61,4.48,5.425
1,1,2,21.48,1.13,2.127
3,3,1,21.46,2.53,22.564
2,2,4,22.36,5.93,12.121
2,2,1,2.7,7.18,13.547
3,1,1,34.99,8.53,47.106
2,3,1,17.46,3.33,5.879
1,2,4,26.31,7.9,9.479
1,2,1,21.55,7.97,11.54
1,3,3,4.53,7.36,7.863
2,1,1,44.19,0.56,3.459
3,2,1,31.77,1.98,34.573
1,3,1,35.29,9.01,8.064
1,1,1,48.34,2.01,3.098
1,2,1,43.98,7.18,7.25
3,3,3,20.07,1.46,20.146
1,2,5,31.64,2.36,4.949
1,1,1,20.3,2.57,3.427
1,1,1,35.64,6.24,8.232
1,1,3,34.67,8.02,7.127
1,1,3,18.5,8.23,7.965
1,2,2,40.92,5.13,6.362
1,2,1,33.64,6.32,17.82
1,2,1,4.16,0.75,2.192
1,1,4,29.0,4.45,3.433
1,2,1,42.55,5.76,5.594
1,3,1,19.73,6.67,8.539
2,3,1,12.83,2.22,7.466
1,2,2,21.94,7.01,10.016
1,1,2,7.21,3.72,5.85
1,3,3,24.33,6.29,4.456
1,3,2,17.81,3.54,2.99
1,3,3,21.68,3.01,5.372
1,2,4,3.86,2.88,3.086
2,1,2,40.04,5.39,6.423
1,1,1,73.64,5.16,6.106
1,1,2,37.66,2.03,2.532
1,1,1,32.53,0.11,0.889
1,1,4,18.2,8.98,8.109
1,3,2,31.49,6.99,8.254
2,1,3,18.88,8.3,7.125
2,1,4,16.54,7.46,10.015
1,2,1,32.5,0.91,1.147
1,1,1,9.19,7.15,5.12
1,1,3,30.85,0.21,1.004
1,2,2,31.62,8.05,9.487
2,1,3,54.06,2.76,4.028
1,1,1,30.05,0.53,1.308
1,2,1,8.71,6.09,6.845
3,1,3,24.95,9.42,25.918
1,1,4,49.51,9.69,9.598
1,2,4,39.88,4.98,7.202
2,3,3,28.54,5.47,7.681
1,1,1,6.79,0.64,1.019
1,1,1,20.78,0.74,1.674
1,2,1,16.93,6.28,6.409
3,2,2,13.56,1.9,13.045
1,2,3,41.67,8.41,5.159
1,2,2,19.6,2.4,3.757
1,3,2,27.44,4.69,6.546
1,1,2,28.67,0.33,0.854
2,3,1,17.4,9.45,14.865
1,1,5,11.55,7.03,7.323
1,3,1,41.83,2.44,3.557
1,2,5,16.94,0.31,0.929
2,2,1,45.84,1.17,8.248
