taskSize,taskType,priority,resourceLoad,startupOverhead,actualTime
2,1,5,16.52,9.88,11.15
1,1,3,34.23,3.8,3.104
1,3,2,28.73,9.52,17.892
1,1,2,32.71,0.55,1.381
2,1,1,58.68,4.52,9.187
1,2,1,36.02,3.2,5.838
1,1,4,21.14,0.54,1.377
2,3,3,23.97,8.29,6.898
1,2,1,25.99,2.62,5.409
1,1,1,13.33,7.3,6.474
1,2,1,39.86,1.18,1.647
1,3,3,35.84,9.38,18.406
1,1,2,21.25,8.56,10.002
1,2,2,16.78,9.08,8.652
1,1,1,28.51,7.04,12.898
1,2,4,17.67,2.0,2.494
1,2,1,34.88,4.98,4.784
2,1,1,12.12,3.62,8.486
1,1,4,39.77,1.63,1.36
3,1,3,18.04,3.46,16.121
3,2,2,51.28,9.19,29.993
1,2,4,19.85,7.65,6.399
1,1,1,28.29,5.36,7.137
1,1,1,10.16,3.4,3.261
2,3,1,21.64,5.32,12.055
2,1,1,27.88,9.92,7.569
2,1,3,32.86,2.03,4.69
1,1,2,51.1,2.29,2.66
2,2,2,7.58,8.19,12.686
1,1,3,47.93,5.24,5.199
2,3,1,31.89,6.3,12.475
1,2,1,7.98,4.48,6.201
2,1,1,54.4,0.38,5.027
2,2,3,30.6,1.74,6.006
1,1,2,23.14,6.4,7.8
2,1,5,51.13,4.14,8.17
1,2,4,4.51,0.71,0.922
2,1,3,42.31,8.92,8.045
1,3,3,8.05,6.8,5.661
3,2,2,27.63,8.81,32.281
1,1,4,30.59,5.91,3.721
3,3,2,19.19,7.24,29.088
2,2,1,10.54,6.27,9.72
1,1,1,17.75,1.11,2.121
2,2,3,33.52,2.18,6.213
2,3,1,43.45,0.74,8.539
3,1,3,11.45,5.61,16.293
1,1,5,11.59,4.14,4.268
1,1,1,26.11,2.54,3.866
1,1,1,13.06,4.82,4.87
2,1,1,11.94,3.53,4.645
1,2,2,6.85,9.9,7.623
1,3,2,39.28,8.07,11.996
1,2,1,50.5,9.71,7.522
1,1,2,20.75,9.4,8.92
1,1,2,46.8,7.9,13.528
2,1,1,17.26,2.78,5.284
2,1,1,38.53,8.43,9.957
1,2,1,28.84,6.42,8.19
1,1,3,20.97,5.32,8.133
3,3,1,13.29,7.49,41.221
1,1,1,22.43,6.23,5.632
1,2,2,9.73,5.91,7.837
1,3,2,7.37,6.09,6.627
2,2,3,21.87,7.7,12.173
1,3,2,35.45,6.42,8.311
2,3,2,29.54,7.39,12.682
2,2,3,20.51,6.68,8.744
1,1,4,35.71,1.49,1.481
2,1,2,50.11,6.74,18.795
2,3,2,29.01,10.0,12.195
1,1,1,19.65,2.27,3.387
1,3,2,34.49,5.26,9.394
1,1,4,12.96,4.46,4.667
1,2,1,52.22,4.57,10.166
1,1,1,11.81,7.54,7.015
3,3,2,10.09,2.28,25.728
1,1,4,25.61,9.44,10.153
1,1,1,25.47,4.83,5.174
2,3,4,25.6,7.64,13.095
1,1,1,29.36,2.16,2.715
3,1,4,35.68,8.57,17.131
2,3,4,17.51,4.39,4.806
1,3,3,19.45,4.26,5.69
1,1,4,13.78,2.08,2.929
3,2,5,13.23,8.61,36.346
2,1,4,30.76,8.88,12.774
3,1,2,47.54,6.74,20.759
1,2,2,52.79,6.79,8.753
2,1,1,49.62,5.83,10.215
2,1,1,8.98,4.39,9.869
1,1,2,22.59,7.33,10.743
1,3,1,13.25,1.36,3.876
2,2,4,12.32,4.68,8.245
1,1,1,20.51,8.18,11.936
1,3,1,14.83,4.81,8.073
2,3,1,38.56,9.1,18.123
1,1,1,24.21,7.04,6.806
1,3,1,23.54,3.33,3.834
1,1,2,73.76,5.28,9.025
1,1,1,30.04,5.4,7.227
3,1,3,43.65,3.23,13.462
2,1,2,30.67,7.31,7.853
1,2,3,27.36,7.25,9.462
3,2,3,32.98,7.09,17.226
2,3,1,11.83,5.65,10.376
1,1,1,18.93,8.21,7.646
2,1,3,44.76,3.84,5.533
1,1,3,63.26,7.24,6.808
3,1,1,4.95,7.13,23.67
2,3,2,25.7,2.94,6.981
2,2,1,18.79,6.74,9.368
1,2,1,5.99,1.93,2.105
2,2,1,17.46,3.34,9.764
1,1,3,3.02,5.84,6.969
1,1,1,47.98,4.62,6.999
1,1,2,12.89,6.26,4.611
2,3,1,12.19,7.9,12.883
1,1,1,25.57,7.01,8.964
3,1,1,12.9,2.35,16.006
2,2,2,20.39,3.13,7.721
1,1,3,23.84,5.59,5.368
1,2,3,7.35,9.32,8.93
1,1,1,33.21,0.44,1.718
2,2,1,14.46,4.55,9.054
2,1,1,33.48,1.2,4.035
1,3,4,18.31,1.81,1.367
2,2,2,7.08,6.94,13.827
1,1,3,4.54,5.53,5.004
2,2,1,27.02,6.05,9.916
3,2,2,54.15,1.47,69.675
2,2,2,12.96,0.44,4.251
2,3,2,9.27,3.6,5.199
2,3,2,39.09,7.26,7.61
1,1,1,50.79,0.66,1.003
1,1,2,30.2,2.42,2.473
1,1,5,10.39,1.76,2.037
1,2,1,9.56,5.82,6.388
2,3,3,56.56,8.79,18.824
2,2,4,54.93,5.13,13.022
2,1,2,37.69,7.18,11.243
1,3,2,2.26,3.83,4.83
2,2,1,43.61,9.87,20.971
1,1,3,38.71,3.85,4.192
1,3,4,10.76,0.32,1.248
2,1,5,22.39,8.58,8.656
3,2,1,35.49,9.19,36.042
2,1,4,34.67,5.21,5.911
1,3,1,27.56,0.44,1.089
2,1,2,41.59,3.09,4.684
1,1,1,3.5,5.07,4.413
2,2,1,62.68,2.03,12.098
2,3,2,30.33,5.33,8.879
1,1,2,16.16,5.26,5.085
1,1,5,31.92,0.47,0.682
1,3,1,47.88,1.22,3.645
3,2,4,23.09,4.14,34.666
1,1,2,30.05,8.08,10.374
2,1,1,9.76,5.46,9.205
2,1,1,47.13,6.72,18.129
1,2,3,42.6,1.72,3.165
1,2,3,51.55,3.26,2.913
3,2,1,47.08,9.3,35.972
1,1,2,21.16,7.43,8.085
1,3,2,52.43,8.96,12.381
2,1,2,36.98,6.22,14.214
2,3,2,63.28,2.29,14.975
3,1,3,29.48,7.81,27.25
1,1,1,22.21,5.28,7.683
1,1,1,50.45,3.75,4.214
1,1,1,42.83,7.82,7.661
1,1,4,6.77,5.82,5.63
1,2,2,38.08,4.05,5.43
1,3,1,24.07,3.57,5.461
1,2,3,37.12,2.1,8.196
1,2,2,40.19,2.75,3.599
1,1,1,10.81,3.8,3.847
2,3,1,56.96,8.51,19.758
2,1,3,30.5,7.7,9.39
1,1,3,30.22,3.04,5.169
1,1,1,13.44,9.93,14.83
1,1,1,25.43,8.21,14.692
1,2,1,54.12,8.03,11.677
1,1,2,26.79,3.1,5.725
1,1,1,63.07,3.62,3.101
1,3,1,24.29,8.21,12.903
1,1,1,8.85,1.55,2.655
1,2,5,34.3,6.61,7.936
1,1,2,30.45,4.67,5.095
1,3,1,10.75,8.9,5.104
2,2,2,5.92,7.45,14.805
2,1,3,9.01,6.29,7.836
2,3,4,28.11,8.89,11.004
1,1,5,23.88,8.76,9.766
2,1,2,30.49,9.45,14.126
1,2,2,10.05,1.45,2.1
1,2,1,34.78,5.07,5.135
2,1,3,5.64,7.13,7.884
1,1,2,17.52,4.79,5.53
1,1,1,33.12,7.49,11.606
2,2,2,40.79,4.39,11.872
2,3,1,6.4,1.35,5.998
3,1,2,24.15,5.32,19.233
1,3,1,16.79,0.7,1.414
1,1,1,15.01,8.36,7.761
2,2,1,13.22,0.6,5.989
1,3,1,34.57,9.3,6.887
2,2,1,22.72,2.22,11.939
1,1,3,27.16,6.55,7.656
1,1,2,33.27,8.42,9.682
1,1,2,39.5,9.03,10.98
2,2,1,23.01,4.75,9.937
1,3,4,29.5,0.9,1.674
1,1,4,33.2,6.03,5.448
1,1,2,33.03,5.42,5.277
1,1,2,35.6,1.68,2.369
1,2,3,22.31,2.63,3.664
2,2,3,27.03,8.56,20.212
1,1,1,1.88,5.42,5.03
2,2,2,13.24,4.03,7.438
2,1,1,12.09,7.81,10.052
1,2,3,34.11,6.37,10.022
1,1,2,29.41,2.73,3.667
2,1,5,49.7,6.26,18.564
1,2,1,32.81,3.71,5.003
1,2,2,29.78,7.87,10.043
3,1,3,24.6,5.78,19.304
3,2,4,22.94,0.3,21.541
2,2,4,12.73,2.95,5.738
1,1,1,7.91,7.22,8.032
2,3,5,26.59,3.32,4.33
2,3,5,49.29,2.27,6.382
1,1,5,36.49,8.02,9.624
2,3,2,33.45,9.79,13.472
1,2,3,57.2,0.61,1.739
1,1,1,29.41,1.19,1.572
1,2,1,20.68,1.7,2.314
1,1,1,42.72,1.18,1.65
1,2,2,19.48,1.48,4.781
2,3,5,12.46,0.23,2.719
3,1,2,24.68,2.65,16.593
1,2,2,14.09,3.07,3.48
2,1,3,39.24,4.68,7.561
3,2,2,7.19,2.55,31.258
1,3,2,38.5,3.0,4.632
1,1,2,39.47,0.65,1.861
1,2,2,33.34,9.19,13.882
1,1,2,45.29,1.26,2.057
2,2,3,33.74,2.33,6.326
1,2,2,9.84,2.72,3.563
1,2,2,49.71,8.5,13.004
1,1,2,22.33,4.72,4.514
1,2,4,52.33,3.46,9.389
3,2,2,31.44,3.19,26.559
1,2,3,58.29,5.2,8.109
1,2,2,32.86,1.13,2.555
1,3,1,21.5,9.19,12.358
1,1,2,11.64,4.04,2.89
1,1,1,9.43,3.61,5.277
1,3,1,55.16,6.48,6.976
1,1,1,36.19,2.44,2.535
1,3,3,20.56,6.08,8.631
2,2,2,16.67,7.85,8.518
2,3,2,62.47,7.36,28.846
2,2,2,34.84,4.97,11.945
2,3,1,41.8,3.67,8.921
2,2,4,9.59,5.94,7.378
1,2,4,11.54,7.59,7.869
1,1,3,5.32,2.85,4.304
1,1,1,46.0,1.42,2.55
1,1,4,47.44,6.57,8.601
2,3,3,35.99,1.76,7.729
1,1,1,19.37,3.74,3.583
2,2,1,45.5,2.11,6.258
2,2,1,12.75,4.63,8.39
1,1,3,20.05,6.13,6.612
3,3,2,42.96,4.46,26.87
1,1,1,44.19,1.42,2.143
2,2,1,18.89,0.64,7.683
1,1,2,8.89,2.68,2.964
1,1,2,31.47,2.15,2.1
1,1,2,26.48,7.55,6.3
1,2,1,20.13,2.93,4.858
1,1,2,10.49,3.66,5.403
3,3,5,20.87,4.0,22.186
2,2,1,22.32,7.05,11.794
1,1,2,27.56,4.94,5.855
1,1,1,51.71,2.08,3.627
1,1,1,33.42,1.86,2.864
1,2,4,4.68,3.19,4.458
3,2,5,37.07,4.35,28.527
1,1,1,29.9,3.71,3.61
1,2,1,6.9,5.91,6.192
1,1,1,27.56,7.21,8.909
1,2,2,12.78,7.53,6.818
1,1,1,32.8,4.03,4.025
2,1,2,39.61,4.64,8.765
2,1,1,11.15,9.53,11.463
3,2,2,52.66,6.24,51.832
2,2,4,25.33,6.06,8.525
1,1,1,23.52,5.84,3.532
2,1,3,10.12,0.63,3.371
3,2,3,16.5,1.1,23.011
2,1,1,16.96,2.83,8.406
3,2,4,0.58,8.35,24.775
2,1,2,36.15,4.65,8.403
2,1,2,7.42,6.77,8.847
1,2,2,13.29,1.8,2.421
2,1,1,48.36,4.94,8.369
1,2,1,41.47,8.19,7.232
1,1,2,2.71,9.65,10.489
2,1,3,39.86,0.46,3.828
3,2,4,9.67,3.45,17.694
3,1,2,35.38,3.16,25.526
1,2,1,14.58,4.35,4.672
2,2,1,17.27,7.61,13.595
2,3,4,18.94,0.62,4.312
1,1,1,25.93,9.34,14.14
1,1,4,18.07,8.56,5.035
1,1,1,36.72,0.82,2.089
2,3,1,22.62,3.44,8.466
1,1,1,46.95,5.12,7.061
3,1,2,42.13,5.76,20.922
1,2,1,3.9,6.45,8.821
3,1,4,42.18,5.08,25.905
1,2,2,1.83,7.99,10.118
2,1,1,32.63,9.43,16.774
1,2,2,55.38,4.06,10.91
1,2,1,90.68,5.75,17.421
2,1,2,20.15,8.68,9.883
3,2,3,18.13,7.93,36.037
2,2,5,53.31,2.68,11.206
1,1,2,5.43,0.44,1.087
1,3,1,27.3,6.29,8.568
1,2,2,41.28,4.18,3.468
1,3,2,39.52,0.31,1.246
2,2,2,37.29,0.24,6.187
2,1,1,30.38,9.09,9.799
2,1,1,29.78,1.0,6.127
2,1,5,27.56,8.2,7.336
2,1,4,34.02,7.43,12.953
2,1,1,36.0,5.69,9.242
1,1,5,15.15,8.01,10.949
1,1,3,11.17,6.21,7.309
2,3,1,39.92,5.3,11.241
2,1,4,29.02,0.68,3.052
1,2,5,36.47,1.55,2.032
1,2,2,31.12,7.08,8.794
2,2,3,24.49,6.92,6.879
1,1,1,16.17,6.87,6.989
1,2,2,16.51,6.9,9.266
2,2,3,56.95,5.65,12.985
2,3,2,40.36,7.08,15.629
1,1,1,56.91,4.74,4.454
2,1,2,15.44,4.15,5.578
1,2,3,16.86,0.46,1.431
2,1,3,23.25,7.62,8.82
1,2,1,18.2,3.78,5.736
1,2,2,25.35,8.97,8.894
1,2,1,55.91,3.42,5.798
1,3,2,20.36,5.11,3.226
2,2,1,23.14,8.22,13.368
1,3,4,36.55,9.29,9.11
1,2,2,34.4,8.37,5.836
1,1,2,59.14,7.98,9.761
2,2,3,38.16,2.47,7.88
2,2,1,17.21,0.69,5.508
3,3,1,24.07,3.39,35.484
1,1,1,16.85,2.15,2.219
1,1,2,29.21,8.3,11.467
1,3,4,27.68,9.72,10.041
1,1,1,15.2,0.82,1.857
3,2,3,19.16,7.11,34.2
2,2,1,9.82,7.19,8.447
1,1,1,27.9,0.77,1.137
1,1,2,53.17,7.45,6.355
3,3,3,24.38,9.84,49.316
1,1,4,43.7,2.5,4.231
1,2,2,48.82,4.45,9.66
1,2,2,24.39,3.03,3.097
1,2,1,28.16,7.41,9.218
1,1,1,25.25,6.93,6.303
1,1,4,8.64,4.83,7.467
1,3,2,17.94,3.85,5.228
2,1,1,34.25,8.13,11.284
1,1,1,15.2,1.11,1.523
1,3,1,30.2,9.05,12.064
3,1,3,27.85,4.2,19.479
2,1,2,33.59,5.77,8.397
1,3,4,41.92,6.0,5.358
1,1,2,24.78,8.06,10.343
2,1,3,33.83,1.36,4.317
1,1,1,12.02,2.01,2.297
1,2,1,10.48,5.27,6.787
3,3,1,20.17,6.64,33.769
1,2,1,34.4,1.73,3.158
2,3,5,29.2,2.76,6.397
1,1,3,18.42,3.47,3.22
2,2,1,37.25,8.02,23.718
1,1,2,30.8,3.9,3.616
1,3,2,40.23,9.34,12.215
1,3,2,11.77,3.34,3.989
1,1,1,11.32,1.48,1.729
2,3,1,11.49,1.1,4.949
1,2,1,11.17,7.06,12.29
1,1,4,20.6,6.94,5.794
2,2,2,9.78,7.26,10.059
2,3,3,44.47,3.96,6.482
1,1,4,21.67,3.74,5.394
1,1,1,52.29,0.16,1.272
3,3,1,15.76,3.78,22.388
2,1,1,57.84,0.83,5.94
2,1,2,39.93,5.92,8.459
3,2,2,9.69,0.86,24.807
2,2,1,38.01,8.86,11.869
1,1,1,56.48,5.29,4.015
1,1,2,72.55,8.26,10.498
1,3,3,10.5,5.85,5.652
2,1,1,9.64,6.19,10.385
3,2,3,30.52,7.61,34.096
1,3,1,36.99,1.16,3.111
1,1,1,41.94,1.47,2.459
1,3,1,5.8,9.09,11.285
3,2,3,9.2,1.59,20.64
1,3,2,11.74,9.32,6.837
1,1,2,4.78,1.18,1.665
1,1,1,5.21,6.36,6.264
1,2,2,18.31,8.12,7.243
1,3,1,28.82,7.36,10.445
1,3,1,17.54,7.84,8.06
1,1,2,17.08,3.69,4.649
1,2,2,5.31,9.25,8.05
1,1,1,47.92,5.4,6.755
1,2,1,49.73,2.08,5.268
1,3,1,12.52,9.08,15.745
2,2,2,44.91,8.35,10.132
1,1,2,56.72,6.22,7.985
1,3,2,40.6,4.23,3.4
1,1,1,24.26,8.32,6.545
1,1,1,69.48,7.84,10.287
1,2,1,38.45,5.29,7.653
1,2,1,48.05,2.52,5.423
2,2,3,26.23,7.27,11.803
1,2,1,36.62,8.32,13.825
1,1,1,23.86,1.9,3.17
1,1,1,20.27,1.47,2.119
1,2,1,2.49,7.66,10.233
1,2,4,13.76,8.63,8.654
2,2,5,11.39,3.13,8.098
2,1,2,15.34,5.96,9.485
1,1,1,39.5,1.25,1.944
1,2,2,41.06,7.81,7.388
1,1,2,15.0,8.11,8.26
1,2,2,49.6,1.76,3.696
2,1,1,49.24,7.51,12.419
1,1,1,14.74,3.93,5.441
1,1,1,39.57,5.26,5.542
3,1,1,37.96,9.09,33.836
1,2,2,16.57,8.62,5.471
1,1,4,33.45,4.35,4.499
2,1,1,46.41,8.4,11.745
1,3,3,20.62,2.7,2.048
1,1,1,46.39,1.51,3.332
1,2,1,52.09,3.88,5.671
3,1,2,61.6,4.99,36.874
1,1,1,20.86,5.58,5.665
1,1,4,7.32,1.89,2.768
1,3,4,12.8,4.8,5.475
1,1,1,48.67,1.94,3.563
2,2,1,29.11,3.73,10.817
1,3,1,53.03,5.93,8.563
1,1,4,46.48,3.67,4.422
1,2,1,65.73,0.18,2.97
2,1,3,30.03,6.81,9.891
