taskSize,taskType,priority,resourceLoad,actualTime
1,1,3,8.14,0.5
1,1,1,39.93,0.649
2,1,3,37.11,2.821
2,1,2,50.72,2.79
1,1,1,23.22,0.4
1,1,3,27.16,0.472
2,1,2,18.43,3.785
1,1,1,37.71,0.947
3,3,3,36.42,26.645
1,1,5,43.47,0.272
1,1,2,1.9,0.565
2,3,3,42.86,5.83
1,1,4,16.82,0.422
1,1,5,4.11,0.425
1,2,1,16.84,1.079
2,1,2,47.94,3.471
1,2,1,15.25,0.802
1,2,2,35.88,1.125
2,2,2,8.79,6.053
3,3,2,37.67,18.011
1,1,4,11.57,0.56
1,1,4,18.62,0.492
1,1,1,9.32,0.62
1,1,2,46.24,0.521
1,2,1,14.5,0.991
2,2,2,27.71,6.132
1,1,4,45.42,0.833
1,3,2,51.95,1.0
2,1,1,28.95,3.467
1,3,4,39.08,0.622
1,1,4,5.18,0.492
2,2,4,32.31,4.436
2,2,3,30.65,3.08
2,2,1,28.96,8.609
1,2,2,36.54,1.536
1,2,2,16.5,1.429
3,2,4,15.66,16.935
1,3,3,19.74,0.86
1,1,1,37.07,1.243
1,2,3,39.68,1.649
2,2,1,17.66,7.115
3,1,1,45.64,17.104
1,1,4,49.19,0.967
3,1,1,18.68,15.769
1,1,1,37.14,1.036
1,2,2,40.82,1.349
2,2,2,43.79,6.332
1,1,4,26.83,0.395
1,1,2,56.11,1.749
1,1,2,11.06,0.581
3,3,3,33.86,13.072
1,2,1,34.66,1.018
3,1,2,19.16,13.609
2,1,2,51.42,3.701
1,3,4,25.11,0.452
2,2,1,66.94,25.441
1,1,1,42.87,1.538
1,2,1,69.69,1.719
2,1,4,59.31,4.129
2,3,1,24.29,3.58
1,3,4,35.66,1.034
1,1,3,62.18,1.244
2,2,4,10.9,5.107
2,3,3,18.48,2.973
2,1,1,22.18,3.127
1,3,1,24.37,1.132
1,1,2,18.52,0.529
1,1,1,21.13,1.035
2,3,2,36.98,3.686
2,2,1,24.97,5.244
1,1,4,40.41,0.413
1,2,2,51.71,1.854
1,2,2,21.12,1.043
2,2,2,14.04,4.49
2,1,4,52.64,3.86
1,2,3,27.04,0.863
1,3,3,8.63,0.701
1,3,1,8.19,0.595
1,1,1,57.42,0.95
2,3,1,44.15,5.607
1,1,1,27.66,0.67
1,2,4,39.44,0.919
3,1,2,34.14,14.212
1,3,2,12.91,0.611
1,3,1,35.67,1.37
1,3,5,6.25,0.404
1,1,5,28.93,0.332
1,2,2,34.12,1.141
1,1,4,24.55,0.735
1,1,3,33.33,0.816
1,3,1,59.23,1.069
1,2,5,31.73,0.694
2,2,1,17.26,6.258
1,1,1,36.65,1.004
1,2,5,16.3,0.657
1,1,1,17.74,0.762
2,1,2,8.15,3.657
2,3,4,24.11,3.4
1,2,5,8.89,0.7
1,1,4,34.02,0.447
1,1,4,33.71,0.674
1,1,2,46.54,0.691
1,1,5,14.32,0.259
1,3,1,10.99,0.948
1,1,1,26.59,0.66
1,1,1,39.48,1.211
1,1,2,29.0,0.71
1,2,1,40.0,1.898
2,1,1,35.77,8.223
1,1,2,0.77,0.521
3,3,1,56.03,53.402
1,2,1,5.1,1.476
2,1,1,19.18,3.282
3,3,1,65.37,68.819
3,2,1,22.96,17.352
2,3,2,39.08,6.115
2,1,1,9.56,2.307
2,1,3,38.98,2.787
2,1,1,30.65,4.474
1,1,1,38.85,1.312
1,1,1,21.15,0.647
1,1,1,43.57,0.543
2,1,1,26.93,4.312
1,1,4,15.9,0.467
1,1,2,14.92,0.272
2,1,4,55.64,3.297
1,2,2,63.22,1.835
1,3,1,45.35,1.234
1,3,5,4.33,0.63
1,1,1,12.15,0.962
1,1,4,32.47,0.702
1,1,2,19.2,0.805
1,2,3,25.22,1.148
1,1,3,8.18,0.404
1,3,1,2.23,0.642
2,3,1,53.25,11.209
1,1,3,44.24,0.613
3,1,3,30.37,11.201
3,2,1,3.65,37.627
1,2,3,25.12,1.113
1,2,2,21.16,1.077
1,1,3,20.12,0.474
2,1,2,17.62,2.077
2,2,1,31.13,6.899
2,1,1,10.83,3.916
1,2,2,20.06,0.629
2,1,5,15.47,2.43
1,1,3,23.04,0.57
2,1,2,7.41,3.351
1,2,4,38.83,1.13
2,1,2,14.65,2.498
2,1,2,38.72,1.871
1,1,1,11.51,0.658
2,3,2,4.2,3.659
1,1,2,6.92,0.47
2,3,4,17.94,3.044
1,3,1,82.01,3.136
3,1,2,35.31,12.863
1,3,1,23.56,1.502
3,1,3,57.55,26.973
2,2,5,22.5,4.186
1,1,5,53.74,0.572
2,2,2,6.42,5.228
2,2,2,30.34,4.847
3,1,1,4.88,13.691
1,1,5,18.51,0.363
1,1,1,12.05,0.65
1,1,3,49.36,0.857
2,2,2,11.48,5.59
1,2,2,56.85,4.08
1,1,2,16.26,0.459
1,1,2,30.66,0.821
1,3,2,36.55,0.487
1,1,2,39.68,1.113
2,2,5,17.79,2.809
2,1,2,9.17,2.733
1,2,2,8.11,1.189
1,2,1,48.21,1.566
3,1,2,23.79,27.177
1,2,4,33.66,0.585
1,1,2,33.08,1.175
1,1,1,41.55,0.776
2,2,2,3.5,5.875
1,2,2,48.01,1.361
2,2,1,24.62,5.342
2,2,2,35.73,4.945
1,1,2,62.6,0.683
2,1,1,44.98,5.761
2,1,2,38.11,2.913
1,1,2,17.82,0.46
1,1,4,28.06,0.545
1,3,1,35.58,1.014
1,1,4,37.58,0.542
1,1,1,19.14,0.593
3,2,2,13.1,19.752
1,2,4,16.57,0.603
1,2,4,22.93,0.406
2,2,3,23.77,7.214
1,1,1,70.81,1.182
3,1,1,68.49,11.783
2,3,1,56.62,8.676
1,3,2,18.72,1.041
1,3,1,63.88,1.308
3,3,4,19.29,14.508
2,1,1,32.25,5.205
3,1,3,21.08,11.741
1,2,1,21.5,1.106
2,2,4,20.87,3.961
2,1,1,42.84,5.839
1,2,2,18.49,0.835
1,3,1,13.19,0.967
2,1,3,25.22,2.867
1,1,2,27.15,0.556
1,1,4,50.85,0.805
2,1,1,24.89,2.518
1,2,5,23.47,0.812
1,2,1,13.61,1.371
1,1,2,7.39,0.609
1,3,1,5.05,0.973
3,1,2,46.54,21.263
2,2,3,19.14,3.802
1,2,2,30.92,1.278
3,3,4,7.0,12.754
2,1,3,12.6,2.35
1,2,2,42.68,1.64
2,2,4,39.81,3.882
1,3,3,19.03,0.826
3,2,5,32.41,14.862
2,3,2,61.1,9.466
2,1,4,21.58,1.861
1,1,1,46.0,0.922
2,1,4,32.97,2.876
1,1,2,12.4,0.638
1,3,1,36.39,0.858
1,1,3,21.31,0.558
2,1,4,41.19,1.483
1,2,2,34.12,1.276
3,1,2,8.78,15.88
2,1,4,39.35,3.236
1,2,1,11.49,0.975
1,3,3,59.04,1.58
1,1,3,25.04,0.47
2,2,2,39.06,9.818
2,2,2,18.89,6.125
1,1,1,32.54,0.837
2,2,1,14.16,5.601
1,1,2,9.58,0.633
2,3,1,25.24,6.581
3,2,1,15.56,27.694
2,1,2,15.31,3.297
2,1,2,64.48,2.949
2,1,1,21.84,4.847
1,3,2,65.3,1.258
1,3,1,20.87,1.133
1,3,4,32.27,1.025
1,1,1,50.69,1.499
2,3,4,17.91,2.338
2,2,2,14.71,5.943
2,1,3,17.03,1.855
1,1,2,29.54,0.684
2,1,2,26.06,2.306
1,1,4,24.22,0.321
1,1,1,12.45,0.456
2,1,5,44.76,4.837
3,2,3,15.75,17.619
2,1,4,18.4,2.338
1,1,5,39.14,0.555
2,2,1,36.23,8.294
1,2,5,51.21,0.999
2,1,2,50.52,6.33
2,3,2,22.49,3.702
1,1,1,71.33,1.296
1,1,1,51.21,0.585
1,1,1,32.06,0.915
3,1,1,10.27,12.518
1,1,1,10.72,0.522
2,3,3,26.77,2.251
2,3,3,29.1,2.208
1,1,1,44.6,0.785
1,1,3,18.22,0.48
3,1,2,1.21,12.47
1,2,1,21.74,1.046
1,3,2,14.04,0.599
2,1,1,42.16,5.356
2,3,2,16.9,3.865
3,1,1,10.93,12.556
1,2,2,8.47,0.78
1,1,3,67.3,0.541
1,2,2,15.91,1.071
1,2,2,26.52,0.936
1,2,5,8.88,0.862
1,2,3,21.45,1.256
1,1,1,50.74,1.153
1,1,5,9.96,0.275
1,2,1,20.81,0.689
2,2,2,5.43,6.455
2,3,3,40.58,4.467
1,2,2,20.89,0.771
1,1,3,56.54,1.004
1,2,2,13.87,0.864
1,2,3,53.08,1.263
1,1,1,8.96,0.682
1,1,5,25.73,0.358
1,1,2,3.34,0.716
1,1,2,47.94,0.861
1,3,2,18.19,0.863
1,2,1,12.63,0.891
1,3,1,23.01,0.918
2,3,1,12.54,3.243
2,3,3,21.36,4.088
2,2,1,18.29,5.629
1,1,3,57.1,0.71
2,1,4,15.98,2.533
1,2,1,27.61,1.145
1,1,1,7.2,0.456
2,1,4,25.51,2.436
1,3,5,28.17,0.336
1,2,3,48.04,1.201
2,1,1,58.83,6.681
2,2,2,18.83,4.033
3,2,1,53.38,42.541
1,3,2,3.8,0.821
1,2,2,22.7,0.921
2,1,3,32.1,3.367
1,2,4,16.85,0.621
2,2,1,33.03,6.688
1,1,5,26.71,0.309
1,2,4,47.63,1.181
1,2,3,40.45,1.131
2,3,5,41.44,3.717
1,3,1,55.64,1.086
1,1,2,16.49,0.591
1,1,5,5.82,0.5
1,1,2,27.68,0.98
1,1,1,15.33,0.535
2,1,3,46.64,4.457
1,2,4,14.05,0.741
2,1,2,35.21,3.059
2,2,3,50.87,7.324
1,1,1,42.27,0.344
1,1,4,5.07,0.502
2,1,1,18.03,2.317
1,1,1,29.41,0.875
1,1,2,17.62,1.013
3,3,3,31.4,13.756
3,1,1,10.52,16.699
2,3,1,25.06,5.917
1,1,4,3.02,0.369
2,1,1,20.04,4.255
2,3,2,2.82,3.81
1,1,2,3.91,0.388
2,1,5,23.41,2.101
1,1,5,34.63,0.376
1,3,1,9.89,0.921
1,1,1,50.43,0.669
1,1,1,36.0,0.794
1,3,3,19.75,0.604
2,2,2,43.81,6.138
3,2,1,21.22,36.26
1,1,2,51.75,0.953
2,2,2,54.52,19.34
3,2,1,26.68,36.712
1,1,2,33.52,0.553
1,2,1,28.45,0.814
1,3,2,25.22,0.772
1,1,3,60.04,0.929
2,1,3,19.45,2.954
1,1,1,22.62,0.744
1,2,1,18.48,0.993
1,2,5,52.65,1.179
1,1,1,28.88,0.615
3,1,1,36.39,21.097
1,1,1,12.26,0.546
1,1,2,7.42,0.468
1,2,5,37.98,0.669
1,1,3,10.22,0.727
1,1,2,28.52,0.893
1,1,2,5.81,0.441
1,1,1,36.98,0.933
1,2,2,9.13,1.167
2,2,1,42.25,10.37
2,2,1,30.84,9.033
2,1,1,11.46,3.047
2,2,4,18.63,6.54
2,1,2,39.39,5.243
1,1,1,12.34,0.458
1,2,2,38.83,1.383
1,1,3,10.05,0.43
1,1,1,38.3,1.365
2,1,2,9.94,3.204
1,2,3,2.72,0.87
2,1,1,52.05,5.08
2,3,2,54.33,6.376
1,1,1,8.44,0.656
3,1,1,7.64,11.164
1,2,2,39.92,1.409
2,2,2,23.52,4.744
1,2,2,33.96,1.795
1,1,3,53.98,1.12
1,2,3,27.14,0.83
1,2,1,23.77,1.079
1,3,1,37.26,1.529
3,2,4,18.62,20.703
2,1,3,6.38,2.648
1,2,4,16.39,0.794
1,1,1,14.85,0.652
1,2,3,22.69,1.046
1,2,2,25.64,0.974
3,1,2,14.27,13.246
1,1,5,27.56,0.318
1,1,2,25.75,0.694
1,1,2,64.94,1.124
1,1,3,24.82,0.544
1,2,2,8.95,1.4
2,1,1,44.28,5.386
2,1,1,2.69,3.235
3,3,1,28.68,18.586
2,1,2,10.94,3.342
1,3,2,51.51,1.17
2,1,1,24.8,3.788
3,3,2,9.34,25.772
2,2,1,13.22,6.985
3,1,2,27.9,21.849
2,1,2,16.93,2.346
2,1,3,20.73,1.935
1,1,2,23.31,0.575
2,1,1,45.13,5.091
1,2,4,17.11,0.626
1,2,3,44.89,1.997
2,1,5,18.35,1.904
3,2,1,63.62,48.466
3,1,1,69.07,17.768
1,1,2,55.92,1.646
2,1,2,57.62,8.067
2,1,1,46.66,4.697
1,1,1,19.09,0.729
1,1,1,26.91,1.21
1,1,3,7.26,0.553
2,3,2,32.4,4.179
1,2,2,43.46,1.852
3,3,1,30.03,29.452
1,1,1,4.48,0.809
3,3,2,24.95,28.702
1,1,1,18.28,0.801
2,1,5,18.51,3.112
1,1,1,35.98,0.394
1,1,4,27.08,0.512
2,1,2,10.3,4.22
3,2,3,23.34,22.888
2,2,3,52.9,7.299
1,1,3,35.43,0.609
1,2,1,28.29,1.045
1,1,1,15.02,0.593
1,1,2,42.23,0.725
2,1,1,31.66,3.952
2,1,1,8.99,3.314
2,1,1,4.2,3.18
2,1,3,38.17,3.28
2,1,3,23.76,2.924
2,3,1,24.04,5.811
1,3,4,38.47,0.84
1,3,3,57.89,1.031
2,1,1,43.34,3.451
2,1,2,34.94,4.076
1,2,2,34.82,1.225
1,2,4,21.68,1.233
2,1,2,42.43,3.304
1,2,2,26.39,0.971
1,3,1,22.86,0.778
2,1,3,12.67,3.386
2,3,5,19.85,2.491
1,1,3,14.86,0.549
2,1,3,30.82,4.327
1,1,4,20.96,0.631
2,2,3,29.55,5.751
1,1,5,11.64,0.373
1,2,2,47.24,2.441
1,1,3,31.14,0.681
1,1,2,24.63,0.616
2,2,1,20.18,7.603
1,1,1,2.97,0.618
1,2,1,46.28,1.618
1,3,1,57.6,1.387
2,3,1,32.31,4.808
2,3,1,7.66,5.332
3,1,1,23.77,21.245
1,1,1,3.38,0.679
1,2,5,40.54,0.762
1,3,2,2.7,0.839
1,1,3,14.91,0.45
3,3,2,10.25,13.879
2,1,2,31.05,4.959
1,2,3,23.28,1.186
1,2,4,53.94,1.447
3,1,1,17.78,14.231
1,1,1,31.71,0.85
1,1,3,4.04,0.467
1,2,1,1.94,1.325
1,2,5,19.45,0.576
1,1,3,10.43,0.345
1,2,1,39.32,2.084
1,2,1,19.06,0.914
2,1,3,15.97,4.126
1,1,2,53.46,1.119
1,1,2,29.87,0.653
3,1,1,37.44,23.453
2,3,1,21.42,4.233
1,3,1,4.02,0.63
1,2,1,49.62,2.268
2,1,1,2.74,3.944
1,2,1,4.25,1.148
1,1,3,39.0,0.648
3,1,1,40.19,14.761
1,3,2,50.12,1.046
2,3,1,11.68,3.147
1,3,1,24.02,1.293
2,1,2,65.6,3.637
1,1,4,14.86,0.586
1,2,3,8.79,1.111
1,1,2,19.81,0.689
1,2,5,40.56,0.61
2,1,1,49.24,4.532
1,3,3,8.59,0.561
1,1,1,23.7,0.623
2,1,1,39.74,2.767
2,3,2,26.84,3.169
1,2,3,34.61,1.031
1,1,2,21.48,1.016
3,3,1,21.46,12.856
2,2,4,22.36,6.276
2,2,1,2.7,6.61
3,1,1,34.99,14.375
2,3,1,17.46,4.519
1,2,4,26.31,0.851
1,2,1,21.55,1.529
1,3,3,4.53,0.597
2,1,1,44.19,4.006
3,2,1,31.77,28.29
1,3,1,35.29,1.531
1,1,1,48.34,0.716
1,2,1,43.98,1.188
3,3,3,20.07,13.307
1,2,5,31.64,0.636
1,1,1,20.3,0.559
1,1,1,35.64,0.769
1,1,3,34.67,1.092
1,1,3,18.5,0.524
1,2,2,40.92,1.286
1,2,1,33.64,1.914
1,2,1,4.16,1.505
1,1,4,29.0,0.289
1,2,1,42.55,2.411
1,3,1,19.73,0.698
2,3,1,12.83,4.456
1,2,2,21.94,1.309
1,1,2,7.21,0.539
1,3,3,24.33,0.603
1,3,2,17.81,1.326
1,3,3,21.68,0.568
1,2,4,3.86,0.636
2,1,2,40.04,2.389
1,1,1,73.64,1.206
1,1,2,37.66,0.579
1,1,1,32.53,0.657
1,1,4,18.2,0.604
1,3,2,31.49,0.606
2,1,3,18.88,4.094
2,1,4,16.54,2.667
1,2,1,32.5,1.442
1,1,1,9.19,0.521
1,1,3,30.85,0.505
1,2,2,31.62,0.883
2,1,3,54.06,3.69
1,1,1,30.05,0.589
1,2,1,8.71,0.966
3,1,3,24.95,27.604
1,1,4,49.51,0.466
1,2,4,39.88,1.602
2,3,3,28.54,4.442
1,1,1,6.79,0.85
1,1,1,20.78,0.65
1,2,1,16.93,1.204
3,2,2,13.56,30.78
1,2,3,41.67,0.911
1,2,2,19.6,0.868
1,3,2,27.44,0.745
1,1,2,28.67,0.606
2,3,1,17.4,4.608
1,1,5,11.55,0.302
1,3,1,41.83,0.955
1,2,5,16.94,0.51
2,2,1,45.84,10.832
1,1,2,40.26,1.032
2,2,4,29.37,4.326
2,1,1,22.24,3.015
1,1,2,47.71,0.863
2,2,1,38.67,6.466
2,1,1,14.5,3.566
1,1,1,48.44,0.812
3,1,1,14.23,15.43
1,3,1,12.8,0.776
2,1,4,17.34,3.171
3,2,5,20.98,14.064
1,3,1,13.33,0.736
2,1,3,11.58,3.34
1,1,3,11.02,0.46
2,3,1,30.31,3.753
2,2,1,39.75,9.809
1,1,3,55.55,0.727
1,1,1,38.39,0.898
1,2,1,5.12,0.775
1,2,1,42.63,1.357
1,1,2,32.8,0.654
1,3,1,13.99,0.832
1,1,1,32.88,0.701
1,1,1,25.52,0.924
2,1,1,43.52,7.956
2,2,3,34.68,13.118
2,3,3,35.68,3.32
1,1,4,36.58,0.328
2,2,2,12.51,4.777
1,1,2,9.42,0.669
1,1,2,53.17,0.975
1,1,1,52.11,1.209
2,2,5,57.53,4.061
1,3,1,36.8,0.798
1,1,3,19.06,0.617
3,1,2,6.86,15.533
1,1,4,36.49,0.588
1,2,1,16.42,0.959
3,1,2,21.4,13.601
1,3,2,36.17,0.668
1,2,1,29.89,2.089
2,2,2,17.67,4.198
2,1,2,25.84,2.723
1,1,3,47.28,0.798
2,3,2,12.67,4.699
1,2,3,10.13,1.013
1,2,3,27.74,1.075
1,2,2,4.68,1.103
1,3,2,10.34,0.69
2,1,2,15.26,2.915
2,3,2,17.02,2.442
1,1,4,24.08,0.335
1,2,1,15.11,0.873
1,2,4,44.93,1.031
2,1,4,54.45,4.513
1,1,3,11.21,0.641
2,1,3,26.84,2.21
1,1,1,41.5,0.667
1,1,2,4.24,0.672
2,1,1,32.5,4.915
2,1,2,36.02,4.976
1,1,1,38.99,0.751
2,1,3,45.47,2.902
3,2,2,7.04,21.991
1,1,1,19.92,0.82
1,2,3,24.96,0.899
1,3,1,32.38,1.18
2,3,3,28.52,4.185
1,2,2,17.11,1.128
1,1,4,26.4,0.325
1,2,3,14.54,0.878
2,1,1,21.31,2.481
1,1,1,40.68,1.516
2,1,4,72.88,2.813
1,3,1,9.81,0.852
3,1,2,25.3,14.245
1,1,2,27.49,0.491
1,1,1,29.6,0.76
2,1,1,17.97,2.852
3,1,2,26.11,14.969
1,1,2,15.27,0.757
1,2,1,14.02,0.701
2,3,3,15.52,4.03
2,2,1,44.69,8.164
1,3,3,14.68,0.665
1,2,1,15.05,0.851
2,1,2,25.42,3.013
2,3,2,46.52,6.458
2,1,1,9.84,3.951
1,2,1,13.15,0.949
1,1,2,37.65,0.774
3,1,3,16.29,11.256
2,1,2,18.07,2.899
2,1,1,29.48,3.761
1,2,1,22.73,1.2
1,3,2,61.98,2.934
2,3,2,21.11,3.823
1,3,5,29.91,0.667
3,3,2,29.08,12.661
1,3,1,36.89,1.263
2,2,5,45.58,5.488
2,2,5,20.91,2.385
1,1,1,6.79,0.854
1,3,2,14.53,0.98
2,2,1,29.56,4.913
1,1,5,13.81,0.262
1,1,4,28.19,0.565
2,3,1,13.71,3.226
3,2,1,18.09,30.934
1,1,1,1.53,0.405
1,1,4,35.41,0.392
1,2,2,21.35,1.042
1,2,2,6.03,0.842
1,1,3,7.75,0.624
1,2,2,21.78,0.939
2,2,3,3.82,2.754
1,1,3,48.08,0.574
3,1,1,47.14,19.69
1,1,2,64.64,1.318
1,2,2,45.82,1.913
2,3,2,13.88,3.302
2,3,2,20.61,2.97
1,2,1,36.43,1.588
1,1,4,46.71,0.91
1,1,3,14.11,0.68
1,2,5,4.31,0.572
1,1,1,8.49,0.45
1,2,2,48.2,1.494
1,3,3,9.32,0.735
1,1,3,18.4,0.415
3,1,2,3.6,11.911
2,2,2,29.89,7.243
1,1,2,24.43,0.768
1,1,3,42.32,0.902
1,2,3,8.88,0.822
1,1,1,33.88,0.586
2,1,2,50.91,3.828
2,3,2,49.57,6.922
3,1,3,29.88,10.596
3,1,1,43.65,23.844
3,3,2,10.97,20.421
3,1,1,31.36,21.495
1,1,1,26.91,0.656
1,3,1,10.23,0.638
1,2,1,6.52,1.283
1,1,1,23.57,0.648
1,2,2,32.83,1.184
2,1,2,27.47,2.692
2,3,4,41.42,4.99
1,2,1,8.74,1.342
1,2,1,29.55,1.723
1,1,2,29.93,1.053
1,1,3,42.47,0.898
2,1,1,20.79,1.832
1,2,1,27.24,3.786
2,2,3,42.34,2.96
1,1,1,17.43,0.499
1,1,1,24.2,0.539
1,1,1,28.51,0.865
2,1,1,25.08,2.056
2,3,5,14.26,2.214
1,3,2,37.06,0.751
3,2,1,6.7,21.892
1,3,1,26.22,0.624
2,2,2,25.77,4.126
1,1,3,24.96,0.555
1,2,2,30.32,1.128
2,1,2,26.62,2.972
1,1,1,16.52,0.864
1,2,1,22.45,1.267
1,1,1,22.3,0.733
1,3,2,27.8,0.761
2,1,1,15.49,3.015
2,1,1,9.98,3.931
2,1,4,25.24,2.916
1,1,3,5.01,0.314
1,1,4,46.98,0.592
1,1,1,1.74,0.597
1,1,3,32.73,0.741
1,1,2,54.98,1.378
3,1,1,66.08,21.029
2,2,1,8.58,5.853
2,3,2,51.28,7.321
1,3,1,22.4,1.141
1,1,1,30.11,1.055
1,2,2,29.36,1.192
1,3,3,32.98,0.899
1,1,1,32.09,0.79
1,3,2,35.02,1.269
1,2,3,29.55,0.823
3,1,2,34.38,11.383
1,1,1,7.8,0.695
3,3,2,20.35,25.149
1,1,4,10.96,0.27
1,1,4,26.4,0.418
1,1,4,3.94,0.479
1,1,5,10.73,0.343
1,1,3,10.79,0.662
1,1,1,47.85,1.456
3,2,3,39.72,29.461
1,1,3,11.58,0.494
2,3,3,47.9,2.259
1,3,4,17.06,0.459
1,1,1,37.35,1.059
1,3,2,31.5,0.535
1,2,3,10.47,1.173
3,1,1,36.04,20.965
2,1,1,35.84,3.017
2,2,1,23.77,4.639
1,3,2,9.38,0.596
1,1,2,18.49,0.546
3,2,1,36.47,36.728
1,3,4,28.35,0.65
1,3,3,40.18,1.234
1,3,2,57.38,1.975
2,1,3,16.23,2.467
2,1,1,16.44,2.673
2,1,2,20.23,3.325
2,1,4,17.63,2.231
1,3,3,51.75,0.74
3,2,2,26.58,18.163
1,3,2,17.63,0.962
